id,name,symbol,slug,cmc_rank,max_supply,circulating_supply,total_supply,date_added,last_updated,price,volume_24h,percent_change_1h,percent_change_24h,percent_change_7d,percent_change_30d,percent_change_60d,percent_change_90d,market_cap,market_cap_dominance,fully_diluted_market_cap,tags
1,Bitcoin,BTC,bitcoin,1,21000000.0,19840403.0,19840403.0,2010-07-13T00:00:00.000Z,2025-03-22T17:10:00.000Z,84129.38308727738,11573425682.057343,0.07456361,0.21846698,-0.27251808,-13.88435169,-20.0579925,-12.09536172,1669160864592.9675,60.4867,1766717044832.82,"mineable,pow,sha-256,store-of-value,state-channel,coinbase-ventures-portfolio,three-arrows-capital-portfolio,polychain-capital-portfolio,binance-labs-portfolio,blockchain-capital-portfolio,boostvc-portfolio,cms-holdings-portfolio,dcg-portfolio,dragonfly-capital-portfolio,electric-capital-portfolio,fabric-ventures-portfolio,framework-ventures-portfolio,galaxy-digital-portfolio,huobi-capital-portfolio,alameda-research-portfolio,a16z-portfolio,1confirmation-portfolio,winklevoss-capital-portfolio,usv-portfolio,placeholder-ventures-portfolio,pantera-capital-portfolio,multicoin-capital-portfolio,paradigm-portfolio,bitcoin-ecosystem,ftx-bankruptcy-estate,2017-2018-alt-season,us-strategic-crypto-reserve"
1027,Ethereum,ETH,ethereum,2,,120634258.73655535,120634258.73655535,2015-08-07T00:00:00.000Z,2025-03-22T17:11:00.000Z,1986.3282403196106,6811521561.38488,0.07510648,1.05766493,2.56105648,-27.09204659,-40.20182736,-40.26517643,239619234878.4426,8.684,239619234878.44,"pos,smart-contracts,ethereum-ecosystem,coinbase-ventures-portfolio,three-arrows-capital-portfolio,polychain-capital-portfolio,binance-labs-portfolio,avalanche-ecosystem,blockchain-capital-portfolio,boostvc-portfolio,cms-holdings-portfolio,dcg-portfolio,dragonfly-capital-portfolio,electric-capital-portfolio,fabric-ventures-portfolio,framework-ventures-portfolio,hashkey-capital-portfolio,kenetic-capital-portfolio,huobi-capital-portfolio,alameda-research-portfolio,a16z-portfolio,1confirmation-portfolio,winklevoss-capital-portfolio,usv-portfolio,placeholder-ventures-portfolio,pantera-capital-portfolio,multicoin-capital-portfolio,paradigm-portfolio,tezos-ecosystem,near-protocol-ecosystem,velas-ecosystem,ethereum-pow-ecosystem,osmosis-ecosystem,layer-1,ftx-bankruptcy-estate,zksync-era-ecosystem,viction-ecosystem,klaytn-ecosystem,sora-ecosystem,rsk-rbtc-ecosystem,starknet-ecosystem,world-liberty-financial-portfolio,us-strategic-crypto-reserve"
825,Tether USDt,USDT,tether,3,,143486985787.07953,145880315798.6648,2015-02-25T00:00:00.000Z,2025-03-22T17:10:00.000Z,0.9998084659396187,35461252619.39243,0.00324473,0.01888225,-0.03188403,-0.03597892,0.03302415,0.0631836,143459503142.07986,5.1987,145852374749.45,"stablecoin,asset-backed-stablecoin,waves-ecosystem,bitcoin-cash-ecosystem,avalanche-ecosystem,polygon-ecosystem,fantom-ecosystem,terra-ecosystem,tezos-ecosystem,near-protocol-ecosystem,arbitrum-ecosystem,celo-ecosystem,iotex-ecosystem,zilliqa-ecosystem,harmony-ecosystem,moonriver-ecosystem,cronos-ecosystem,injective-ecosystem,oasis-ecosystem,moonbeam-ecosystem,usd-stablecoin,xdc-ecosystem,everscale-ecosystem,velas-ecosystem,doge-chain-ecosystem,ethereum-pow-ecosystem,aptos-ecosystem,sui-ecosystem,optimism-ecosystem,canto-ecosystem,osmosis-ecosystem,zksync-era-ecosystem,pulsechain-ecosystem,sei-ecosystem,toncoin-ecosystem,fiat-stablecoin,viction-ecosystem,gnosis-chain-ecosystem,klaytn-ecosystem,okexchain-ecosystem,conflux-ecosystem,kcc-ecosystem,tron20-ecosystem,kardiachain-ecosystem,rsk-rbtc-ecosystem,telos-ecosystem,boba-network-ecosystem,fusion-network-ecosystem,hoo-smart-chain-ecosystem,secret-ecosystem,aurora-ecosystem,metis-andromeda-ecosystem,meter-ecosystem,fuse-ecosystem,syscoin-ecosystem,milkomeda-ecosystem,bitgert-ecosystem,astar-ecosystem,cube-network-ecosystem,thundercore-ecosystem,redlight-chain-ecosystem,core-ecosystem,polygon-zkevm-ecosystem,eos-evm-ecosystem,starknet-ecosystem,mantle-ecosystem,neon-evm-ecosystem,manta-pacific-ecosystem,scroll-ecosystem,x-layer-ecosystem,world-liberty-financial-portfolio"
52,XRP,XRP,xrp,4,100000000000.0,58158111605.0,99986323420.0,2013-08-04T00:00:00.000Z,2025-03-22T17:11:00.000Z,2.3844617641848656,1970876893.7046144,0.27215291,-0.31321893,-1.1731771,-11.44594786,-25.07584554,6.51173408,138675793399.3186,5.0257,238446176418.49,"medium-of-exchange,enterprise-solutions,xrp-ecosystem,arrington-xrp-capital-portfolio,galaxy-digital-portfolio,a16z-portfolio,pantera-capital-portfolio,ftx-bankruptcy-estate,2017-2018-alt-season,klaytn-ecosystem,made-in-america,us-strategic-crypto-reserve"
1839,BNB,BNB,bnb,5,,142473227.18,142473227.18,2017-07-25T00:00:00.000Z,2025-03-22T17:11:00.000Z,626.3352737038251,1230276483.3196197,0.15248933,-1.45413996,2.74346109,-3.72295958,-9.38980527,-4.63905955,89236007741.25256,3.234,89236007741.25,"marketplace,centralized-exchange,payments,smart-contracts,alameda-research-portfolio,multicoin-capital-portfolio,bnb-chain-ecosystem,layer-1,alleged-sec-securities,celsius-bankruptcy-estate"
5426,Solana,SOL,solana,6,,510497198.8533364,596789158.869763,2020-04-10T00:00:00.000Z,2025-03-22T17:11:00.000Z,129.04295834460493,1879455790.094469,0.04196771,2.07256131,-4.6431885,-25.16094418,-47.18776101,-29.33947558,65876068766.66859,2.3874,77011438568.54,"pos,platform,solana-ecosystem,cms-holdings-portfolio,kenetic-capital-portfolio,alameda-research-portfolio,multicoin-capital-portfolio,okx-ventures-portfolio,layer-1,ftx-bankruptcy-estate,alleged-sec-securities,cmc-crypto-awards-2024,made-in-america,us-strategic-crypto-reserve"
3408,USDC,USDC,usd-coin,7,,59617541025.350174,59617541025.350174,2018-10-08T00:00:00.000Z,2025-03-22T17:11:00.000Z,1.000074093703816,4710152108.920047,0.00709392,-0.02548072,0.02422303,0.02096794,-0.0040149,0.00230759,59621958309.77714,2.1607,59621958309.78,"medium-of-exchange,stablecoin,asset-backed-stablecoin,waves-ecosystem,bitcoin-cash-ecosystem,wanchain-ecosystem,coinbase-ventures-portfolio,avalanche-ecosystem,hedera-hashgraph-ecosystem,polygon-ecosystem,terra-ecosystem,near-protocol-ecosystem,arbitrum-ecosystem,celo-ecosystem,iotex-ecosystem,harmony-ecosystem,moonriver-ecosystem,cronos-ecosystem,injective-ecosystem,oasis-ecosystem,moonbeam-ecosystem,usd-stablecoin,everscale-ecosystem,velas-ecosystem,doge-chain-ecosystem,ethereum-pow-ecosystem,aptos-ecosystem,sui-ecosystem,optimism-ecosystem,canto-ecosystem,osmosis-ecosystem,zksync-era-ecosystem,pulsechain-ecosystem,base-ecosystem,sei-ecosystem,multiversx-ecosystem,fiat-stablecoin,viction-ecosystem,gnosis-chain-ecosystem,okexchain-ecosystem,conflux-ecosystem,kcc-ecosystem,tron20-ecosystem,kardiachain-ecosystem,telos-ecosystem,ronin-ecosystem,boba-network-ecosystem,kava-ecosystem,secret-ecosystem,aurora-ecosystem,metis-andromeda-ecosystem,meter-ecosystem,fuse-ecosystem,elastos-ecosystem,syscoin-ecosystem,milkomeda-ecosystem,evmos-ecosystem,bitgert-ecosystem,astar-ecosystem,thundercore-ecosystem,tomb-chain-ecosystem,wemix-ecosystem,sx-network-ecosystem,godwoken-ecosystem,energi-ecosystem,core-ecosystem,polygon-zkevm-ecosystem,starknet-ecosystem,mantle-ecosystem,neon-evm-ecosystem,scroll-ecosystem,shido-network-ecosystem,made-in-america,world-liberty-financial-portfolio"
74,Dogecoin,DOGE,dogecoin,8,,148536516383.70523,148536516383.70523,2013-12-15T00:00:00.000Z,2025-03-22T17:11:00.000Z,0.16820555988695668,493802225.0523199,0.21045876,0.68719317,-4.44621486,-33.21632855,-55.71290661,-46.9119417,24984667901.97925,0.9055,24984667901.98,"mineable,pow,scrypt,medium-of-exchange,memes,payments,doggone-doggerel,ftx-bankruptcy-estate,made-in-america"
2010,Cardano,ADA,cardano,9,45000000000.0,35238941062.750435,44994940568.06273,2017-10-01T00:00:00.000Z,2025-03-22T17:11:00.000Z,0.7035088436516342,489881925.465158,0.12805183,-0.79452075,-6.30764604,-11.72541514,-29.839637,-21.39095284,24790906678.56365,0.8984,31657897964.32,"dpos,pos,platform,research,smart-contracts,staking,cardano-ecosystem,cardano,layer-1,alleged-sec-securities,2017-2018-alt-season,made-in-america,us-strategic-crypto-reserve"
1958,TRON,TRX,tron,10,,95009761823.37001,95009769352.22565,2017-09-13T00:00:00.000Z,2025-03-22T17:11:00.000Z,0.23510850160380836,410822682.6568769,0.39878957,-0.04670675,5.45036261,-3.34944949,-3.01651061,-4.81515551,22337602740.027237,0.8095,22337604510.13,"media,payments,tron-ecosystem,layer-1,dwf-labs-portfolio,alleged-sec-securities,2017-2018-alt-season,tron20-ecosystem,world-liberty-financial-portfolio"
