,Unnamed: 0,book_id,Title,description,authors,image,previewLink,publisher,publishedDate,infoLink,categories,ratingsCount
4176,4176,B10004177,Stories Behind the Great Traditions of Christmas (Stories Behind Books),"The cheer of a crackling hearth fire. Colorful cards from friends and loved ones. An evergreen tree festooned with ornaments.The golden traditions of Christmas—gifts, wreaths, stockings, carols, mistletoe, and more—infuse our celebration of the season with meaning and glowing memories. And, in ways you may not realize, they point us to the birth of Christ.Stories Behind the Great Traditions of Christmas reveals the people, places, and events that shaped the best-loved customs of this merriest of holidays. Here are spiritual insights, true-life tales, and captivating legends to intrigue you and your family and bring new luster and depth to your celebration of Jesus’ birth. Discover how• after eighteen centuries of all but ignoring the event, churches began to open the door for believers to commemorate Jesus’ incarnation.• the evergreen tree, once a central theme in the worship practices of pagan cultures, came to represent the everlasting love of God.• the magi’s three gifts—gold, frankincense, and myrrh—are filled with spiritual symbolism.The traditions of Christmas lend beauty, awe, and hope to the holiday, causing people all over the world to anticipate it with joy. The stories in this book will warm your heart as you rediscover the true and eternal significance of Christmas.",['Ace Collins'],http://books.google.com/books/content?id=mo8vgZoROl8C&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,http://books.google.com/books?id=mo8vgZoROl8C&printsec=frontcover&dq=Stories+Behind+the+Great+Traditions+of+Christmas+(Stories+Behind+Books)&hl=&cd=1&source=gbs_api,Zondervan,2010-05-04,https://play.google.com/store/books/details?id=mo8vgZoROl8C&source=gbs_api,['Religion'],1.0
6561,6561,B10006562,The beast: A reckoning with depression,"A reporter for The Washington Post meticulously describes her life-long struggle with depression, recounting her painful efforts to comprehend and treat her illness. BOMC Main. First serial, Washington Post Magazine & Cosmopolitan.",['Tracy Thompson'],http://books.google.com/books/content?id=_24eAQAAIAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,http://books.google.com/books?id=_24eAQAAIAAJ&q=The+beast:+A+reckoning+with+depression&dq=The+beast:+A+reckoning+with+depression&hl=&cd=1&source=gbs_api,Putnam Adult,1995,http://books.google.com/books?id=_24eAQAAIAAJ&dq=The+beast:+A+reckoning+with+depression&hl=&source=gbs_api,['Psychology'],1.0
608,608,B10000609,PLUMED SERPENT,"""The Plumed Serpent"" by D. H. Lawrence. Published by Good Press. Good Press publishes a wide range of titles that encompasses every genre. From well-known classics & literary fiction and non-fiction to forgotten−or yet undiscovered gems−of world literature, we issue the books that need to be read. Each Good Press edition has been meticulously edited and formatted to boost readability for all e-readers and devices. Our goal is to produce eBooks that are user-friendly and accessible to everyone in a high-quality digital format.",['D. H. Lawrence'],http://books.google.com/books/content?id=7MpNEAAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,http://books.google.com/books?id=7MpNEAAAQBAJ&printsec=frontcover&dq=PLUMED+SERPENT&hl=&cd=1&source=gbs_api,Good Press,2021-11-09,https://play.google.com/store/books/details?id=7MpNEAAAQBAJ&source=gbs_api,['Fiction'],
10385,10385,B10010386,"Honor Killing : How the Infamous ""Massie Affair"" Transformed Hawai'i","Recounts the 1930s case of a wife of a naval officer in Honolulu who accused six islanders of gang rape and how her mother, infuriated by the case's subsequent hung jury, arranged for the murder of one of the suspects.",['David E. Stannard'],http://books.google.com/books/content?id=rmCbAAAAMAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,http://books.google.com/books?id=rmCbAAAAMAAJ&q=Honor+Killing+:+How+the+Infamous+%22Massie+Affair%22+Transformed+Hawai%27i&dq=Honor+Killing+:+How+the+Infamous+%22Massie+Affair%22+Transformed+Hawai%27i&hl=&cd=1&source=gbs_api,Viking Press,2005,http://books.google.com/books?id=rmCbAAAAMAAJ&dq=Honor+Killing+:+How+the+Infamous+%22Massie+Affair%22+Transformed+Hawai%27i&hl=&source=gbs_api,['History'],
11924,11924,B10011925,"Facing The Extreme: One Woman's Tale of True Courage, Death-Defying Survival and Her Quest For The Summit","She stepped into a death zone. The climbers on Alaska's Mt. McKinley called her ""the woman."" Ruth Anne Kocour, a world-class mountaineer, wasn't bothered. It was part of the challenge she faced as she joined an all-male team to conquer North America's highest peak...the mountain the Indians called Denali, or God. Faced the extreme. But nine days into this ascent, a forty-fifth birthday present to herself, the most violent weather on record slammed into the mountain. Ruth Anne and her group would be trapped on an ice shelf at 14,000 feet for the deadliest two weeks in Denali history. Pinned down by blinding snows, unable to help other teams dying around her, and her own feet freezing solid, Ruth Anne tells of a wind chill of minus 150 degrees, deadly hidden crevasses, and being trapped in a place so violent and unforgiving that it threatened to push her over the edge and into a place of no return. And yet, in prose as crystalline as the ice around her, she tells, too, of beauty, courage, and the spirit that drives true mountainers higher, as she risks all to go for the summit...and perhaps, for a transcendant moment, touch heaven. And lived to tell about it.","['Ruth Anne Kocour', 'Michael Hodgson']",http://books.google.com/books/content?id=pynnGwAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,"http://books.google.nl/books?id=pynnGwAACAAJ&dq=Facing+The+Extreme:+One+Woman%27s+Tale+of+True+Courage,+Death-Defying+Survival+and+Her+Quest+For+The+Summit&hl=&cd=1&source=gbs_api",St. Martin's Press,1997-12-15,"http://books.google.nl/books?id=pynnGwAACAAJ&dq=Facing+The+Extreme:+One+Woman%27s+Tale+of+True+Courage,+Death-Defying+Survival+and+Her+Quest+For+The+Summit&hl=&source=gbs_api",['Sports & Recreation'],
4879,4879,B10004880,Tales of a Sea Gypsy,"For many years, Ray Jason has been delighting readers of the sailing magazine Latitude 38, with his Sea Gypsy Vignettes. These hilarious stories chronicle some of the misadventures of today's sailboat cruisers. Now, for the first time ever, some of his best yarns are available in one book. So settle back and sail away with the offbeat characters that roam the pages of Tales of a Sea Gypsy.Relive the terror of getting rammed by a tanker - not just once, but TWICE! Discover the little-known danger of poodles in hurricanes. And ponder how a donkey could possible wander into a sea story. If romance and passion are what lure you to sea, you'll find these pages full of it in some of its most intriguing variations. Meet a couple bonded together by epoxy glue. Enter a disco full of people dancing in their underwear. And encounter lovers who unleash the little-known erotic power of macaroons.These are just a few of the bizarre episodes that make these twenty-two stories so captivating.",['Ray Jason'],http://books.google.com/books/content?id=ezMNAAAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,http://books.google.com/books?id=ezMNAAAACAAJ&dq=Tales+of+a+Sea+Gypsy&hl=&cd=1&source=gbs_api,Paradise Cay Publications,2010-01-01,http://books.google.com/books?id=ezMNAAAACAAJ&dq=Tales+of+a+Sea+Gypsy&hl=&source=gbs_api,['Humor'],
168,168,B10000169,"Bull: A History of the Boom and Bust, 1982-2004","In 1982, the Dow hovered below 1000. Then, the market rose and rapidly gained speed until it peaked above 11,000. Noted journalist and financial reporter Maggie Mahar has written the first book on the remarkable bull market that began in 1982 and ended just in the early 2000s. For almost two decades, a colorful cast of characters such as Abby Joseph Cohen, Mary Meeker, Henry Blodget, and Alan Greenspan came to dominate the market news. This inside look at that 17-year cycle of growth, built upon interviews and unparalleled access to the most important analysts, market observers, and fund managers who eagerly tell the tales of excesses, presents the period with a historical perspective and explains what really happened and why.",['Maggie Mahar'],http://books.google.com/books/content?id=X1amHI5ra3wC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,"http://books.google.com/books?id=X1amHI5ra3wC&printsec=frontcover&dq=Bull:+A+History+of+the+Boom+and+Bust,+1982-2004&hl=&cd=1&source=gbs_api",Harper Collins,2009-10-13,https://play.google.com/store/books/details?id=X1amHI5ra3wC&source=gbs_api,['Business & Economics'],1.0
4147,4147,B10004148,The Earl of Her Dreams (Spies and Secrets),"Facing the choice of flight or a wedding she cannot abide, Kate Simon has chosen to flee. Disguised as a boy, she takes refuge in a roadside inn, and finds herself rooming with intensely secretive Christian Black. Kate is breathless in the presence of this handsome, mysterious rogue whose piercing gaze seems to strip her naked. But neither suspects that a savage storm and a murder will draw them closer together still. But not the passion in their hearts Christian dares not let anyone learn of his haunted past—or that he is, in truth, the Earl of Canley—especially not a slip of a girl whose masculine attire cannot disguise the exquisite female form beneath. But now that destiny and a dastardly crime have united them, Christian can no longer contain his desire to taste the nectar of Kate's sweet kiss. Danger certainly abounds, but the gravest peril might be resisting a once-in-a-lifetime passion that can heal all wounds.",['Anne Mallory'],http://books.google.com/books/content?id=WSfOvU8qoaEC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,http://books.google.com/books?id=WSfOvU8qoaEC&pg=PP1&dq=The+Earl+of+Her+Dreams+(Spies+and+Secrets)&hl=&cd=1&source=gbs_api,Harper Collins,2009-10-13,http://books.google.com/books?id=WSfOvU8qoaEC&dq=The+Earl+of+Her+Dreams+(Spies+and+Secrets)&hl=&source=gbs_api,['Fiction'],
6554,6554,B10006555,Mirror Dance (Miles Vorkosigan Adventures),"Injured in his mother's womb, Lord Miles Naismith Vorkosigan, born a dwarf with brittle bones, faces off against his brother, a cloned stranger created to murder Miles and replace him. 35,000 first printing.",['Lois McMaster Bujold'],http://books.google.com/books/content?id=aZ0YkIU0HusC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,http://books.google.com/books?id=aZ0YkIU0HusC&printsec=frontcover&dq=Mirror+Dance+(Miles+Vorkosigan+Adventures)&hl=&cd=1&source=gbs_api,Baen Books,1994,http://books.google.com/books?id=aZ0YkIU0HusC&dq=Mirror+Dance+(Miles+Vorkosigan+Adventures)&hl=&source=gbs_api,['Fiction'],26.0
11831,11831,B10011832,"Mysticism;: A study in the nature and development of man's spiritual consciousness,","""Mysticism"" is one of most celebrated books on the subject. The spirit of the book is romantic, engaged, and theoretical rather than historical or scientific. Underhill has little use for theoretical explanations and the traditional religious experience, formal classifications or analysis. She dismisses William James' pioneering study, The Varieties of Religious Experience (1902), and his ""four marks of the mystic state"" (ineffability, noetic quality, transcience, and passivity). Excerpt: ""All men, at one time or another, have fallen in love with the veiled Isis whom they call Truth. With most, this has been a passing passion: they have early seen its hopelessness and turned to more practical things. But others remain all their lives the devout lovers of reality: though the manner of their love, the vision which they make to themselves of the beloved object varies enormously. Some see Truth as Dante saw Beatrice: an adorable yet intangible figure, found in this world yet revealing the next.""",['Evelyn Underhill'],http://books.google.com/books/content?id=XtCSDwAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,"http://books.google.com/books?id=XtCSDwAAQBAJ&printsec=frontcover&dq=Mysticism%3B:+A+study+in+the+nature+and+development+of+man%27s+spiritual+consciousness,&hl=&cd=1&source=gbs_api",e-artnow,2018-11-01,https://play.google.com/store/books/details?id=XtCSDwAAQBAJ&source=gbs_api,['Religion'],
